甘家巷炼油厂食堂一楼苏果超市有限公司甘家巷连锁店	纬一路与7号路交叉口西北50米华润苏果超市(甘家巷店)	1
no_name	江南工业东区三环路与江南工业东区中心路交叉口南50米八哥酸辣粉	1
岗梓村大埔工业区骋业塑胶厂	常平镇岗梓村大埔工业区B区东莞市骋业塑胶有限公司	1
no_name	仙尧路2号栖霞区移动互联网产业基地9号楼	1
江西省南昌市红谷滩新区联泰香域尚城4栋	no_name	1
江苏省南京市雨花台区软件谷宁双路7号凤翔新城2期6栋2单元	no_name	1
no_name	凤南街15号湖滨村1幢	1
新疆乌鲁木齐区市头屯河南区火西站在街道金桥梁路新疆艺术学院(新校区)699号码艺	no_name	1
no_name	no_name	1
滨海工业区兴滨路绍兴华彬石化有限公司	no_name	1
no_name	no_name	1
no_name	no_name	1
no_name	东滨路4343-25号城市山林	1
no_name	板仓街49号22幢板仓街49号小区22幢	1
no_name	no_name	1
no_name	no_name	1
武汉市江夏区商业街郧西花园十单元	西市街与西港街交叉口南150米郧西家园	1
九都新天地三组团四单元	no_name	1
no_name	201省道南200米琼海市彬村山华侨农场	1
山西省太原市南中环街东口东怡花苑2号楼	no_name	1
no_name	no_name	1
江苏省南京市浦口区大桥北路与浦珠北路交汇处丽都嘉园小区3栋	no_name	1
江苏省南京市秦淮区光华路街道199号银龙花园135幢3单元	银龙花园二期135幢银龙花园135幢	1
杨泉路陕西省杂交油菜研究中心	no_name	1
no_name	no_name	1
余杭街道凤新路与城东路交叉口	no_name	1
no_name	no_name	1
恒祥北大街1599号秀兰锦观城2号楼	no_name	1
尧石二村100号南京中石化二公司幼儿园	no_name	1
no_name	高新技术产业园朝阳路12号达富生活	1
no_name	no_name	1
no_name	北虹路1127-1131附近哈密路398弄30号	1
no_name	no_name	1
no_name	三牌楼大街119-2号百粥坊(三牌楼店)	1
no_name	松岗街道广深路松岗段109号金海大厦(广深公路辅路)	1
no_name	no_name	1
no_name	荷塘月色东区(紫东路北90米)荷塘月色东区2号楼	1
no_name	芳芯路210弄8幢21-23号芳芯路210弄8幢	1
no_name	莞城街道运河西一路114号商业信托宿舍	1
江苏省南京市鼓楼区二板桥557号4幢	鼓楼区二板桥557号4号楼	1
no_name	东吴北路129号6栋东吴北路129号院6栋	1
no_name	no_name	1
石油基地石油基地井下作业公司	no_name	1
no_name	no_name	1
no_name	no_name	1
no_name	no_name	1
万华街花香庭院39号	no_name	1
江苏省南京市秦淮区光华路街道四方新村3村6幢	no_name	1
上海市海南省白沙县七坊镇长龙村	白沙黎族自治县长龙村	1
no_name	no_name	1
东洲东望路路边	富阳区东望路	1
no_name	黎明街道生态大街滨洲华府滨洲华府19号楼	1
滨河路北一段190号观澜云座一栋一单元5楼	no_name	1
no_name	学院路南200米同大学生公寓23号楼	1
no_name	no_name	1
江苏省南京市鼓楼区建宁路街道建宁路45号博桥市场f1楼	no_name	1
no_name	银杏路与326国道交叉口北150米鑫中正大酒店水汇	1
no_name	no_name	1
西安市莲湖区自强西路自强小区一栋楼一单元四楼	no_name	1
no_name	浦口区旭日上城二区14幢	1
no_name	卫生路岗杜北街16号院岗杜北街16号院1号楼	1
海南省东方市三家镇三家村	no_name	1
no_name	科园北路18号B栋宁海县晓璐金属制品有限公司	1
no_name	no_name	1
杭州市西湖区三墩镇秀月家园南区新月湾8幢1单元	秀月家园新月湾8幢(秀里街南)秀月家园南区新月湾8幢	1
no_name	城厢镇砖文安塔小区23号泽生食杂店	1
江苏省南京市六合区横梁镇342号东吴工业园(创维公司)苏美达创为针织有限公司	no_name	1
北京市通州区月亮湾小区4号楼5单元	张凤路月亮湾晓镇4号楼	1
no_name	宝岗路90号笋岗新村81号楼	1
no_name	no_name	1
广州市天河区柯木塱背坪村窑屋地西街四巷1号首层(坤波商行)	no_name	1
no_name	no_name	1
no_name	白云区优品新城31栋	1
江苏省南京市建邺区嘉陵江东街10号新城科技园(应天大街高架)应天大街高架靠近金鹰世界西向东的	no_name	1
江苏省南京市溧水区永阳镇飞燕新村1幢	no_name	1
no_name	no_name	1
no_name	no_name	1
no_name	甘坑秀峰工业城A5栋5楼友捷实业	1
no_name	no_name	1
开元大道与望春门街交叉口龙泉大厦15楼东	合群路1龙泉大厦	1
no_name	星河家园(223省道旧西)星河家园58号楼	1
no_name	中山南路与通运路交叉口东南100米朝宗原筑	1
江苏省南京市秦淮区秦虹街道九龙盛世园********号15单元	秦虹石杨路九龙盛世园九龙盛世园15号楼	1
广州市金鼎酒店	滨湖路25号广州金鼎酒店	1
no_name	no_name	1
开发区魏家营村好又多超市	no_name	1
河北省保定市清苑光明东街正北商贸3楼	no_name	1
西陵二路金耀星座一楼瑞福大药房	西陵二路26-1附近瑞福大药房	1
天河路251号鹿山景苑	no_name	1
no_name	no_name	1
江苏省南京市江宁区禄口街道永兴社区信陵路269号永欣新寓桂花苑173栋501室	no_name	1
no_name	no_name	1
沙河口区玉兰街	沙河口区兰玉街	1
no_name	no_name	1
no_name	城南街道群文村居委会内街卫生室旁菜鸟驿站(绵阳群文西街店)	1
no_name	no_name	1
no_name	no_name	1
no_name	no_name	1
深圳市光明新区百花村第一工业区鹂亿发	no_name	1
no_name	no_name	1
深圳市桔岭老村101栋	龙华区桔岭老村101栋	1
no_name	闵行区莘沥路	1
百花山路贵阳开磷百花医院旁下坡申通快递代收	no_name	1
no_name	交通西路22号栖凤佳苑2幢	1
no_name	no_name	1
no_name	康馨苑B区(电子西街北180米)康馨苑B区3号楼	1
no_name	no_name	1
开发区松江路高教公寓6号楼	no_name	1
no_name	祥符南路和莫干山路交叉口往西200米丽晶湾丽晶湾6幢	1
no_name	no_name	1
no_name	no_name	1
no_name	no_name	1
线路新村15幢,二单元,	线路新村15幢线路新村社区15幢	1
no_name	no_name	1
no_name	no_name	1
no_name	火炬开发区街道张家边四村基围塘街20号菜鸟驿站(中山火炬开发区张家边四村店)	1
no_name	东环路275附近德昌电机宿舍G区(南2门)	1
深大新村11栋二单元403单元	no_name	1
no_name	no_name	1
河南省郑州市郑东新区博学路办事处金水东路106号贾岗社区11号楼四单元	no_name	1
内蒙古赤峰市松山区友谊大街星光天地14号楼二单元	no_name	1
no_name	no_name	1
no_name	王家店特1号武汉点睛学校	1
杭州市江南名城金座	no_name	1
no_name	no_name	1
江西省南昌市新建区长堎镇红谷十二庭4期43号楼(欧尚超市旁)	no_name	1
微山县金泰花园小区	no_name	1
no_name	no_name	1
杭州市锦阳宿舍五栋一单元	no_name	1
no_name	开发区金马路120号(与鞍山街交汇处)大连福佳国际公寓	1
江苏省南京市雨花台区西善桥街道69号西善花苑祥和园7栋3单元	西善花苑祥和园(邱村街北)西善花苑祥和园7号楼	1
袍江工业区越王路与启圣路交叉口申通快递	启圣路与越王路交汇处东南角申通快递(绍兴分部)	1
no_name	no_name	1
no_name	no_name	1
no_name	利通区中达依瓦诺小镇8号楼	1
no_name	no_name	1
no_name	湛河区飞行集团二生活区5号楼	1
no_name	no_name	1
no_name	no_name	1
no_name	文化路6号联盛大厦B座	1
大同街道后炉常青路66号之二（后炉菜市场旁智慧生活超市正对面）	no_name	1
no_name	建昌镇盛世购物广场3层上岛咖啡(南城店)	1
no_name	no_name	1
临沂职业学院河东校区中升大街与东兴路交汇东望府对过	no_name	1
武汉市汉南区纱帽街月亮湾路圣特立国际花园A区10栋1单元	汉南区圣特立·国际花园A区10栋	1
江苏省南京市建邺区建邺区河西中央商务区中和路南京合美佳金穗4栋一单元	no_name	1
no_name	no_name	1
no_name	六弓乡665县道南(大九)南茂农场八区春明队	1
no_name	no_name	1
